title,released year,duration,rating,story line,watch on,watch link
Ramayana: The Legend of Prince Rama,1993,1h 37m,9.2,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.",N/A,N/A
Rocketry: The Nambi Effect,2022,2h 37m,8.8,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.1fdecee8-fda8-4bbc-827b-8c869929c71c
Nayakan,1987,2h 25m,8.6,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.62b4278d-80cb-dfb5-a6cb-4773e87c1523
Gol Maal,1979,2h,8.5,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.acb9d1a4-20a2-004d-1856-0f77adc7afb2
777 Charlie,2022,2h 44m,8.9,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,Voot,https://www.voot.com/
Anbe Sivam,2003,2h 40m,8.6,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.44b40bf9-5733-cbef-49dd-cad4df04c537
Jai Bhim,2021,2h 44m,8.8,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.460ca3e8-c2a4-4027-8600-69364b086651
Pariyerum Perumal,2018,2h 34m,8.7,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.a4b36956-d5a4-dd46-e187-318cad35e135
3 Idiots,2009,2h 50m,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.6ab5ef5d-dd32-c5ab-3a8f-0aff6123c065
Manichithrathazhu,1993,2h 49m,8.8,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",Prime Video,https://www.primevideo.com/detail/amzn1.dv.gti.eab7aea5-ebbc-f3db-a15f-e821f08c5291
